text_customer,text_brand,tweet_id_customer,tweet_id_brand
@115858 @AppleSupport removed my earphone from my phone and this happened... HOW IS THIS EVEN POSSIBLE?! https://t.co/er5gzYrbvt,@515507 Let us know in DM which device you're using these with. We want to help. https://t.co/GDrqU22YpT,1699896,1699895
@AppleSupport And the fact that there’s things out of order right now is kind of driving me nuts is there any way to fix that?,"@699079 We'd like to take a look into this. Please send us a DM, and we'll continue there. https://t.co/GDrqU22YpT",2436883,2436884
@115858 fix this shit . Like wtf https://t.co/sOCmJYcHXS,"@170457 We want to help you with this. We see that you forced closed your apps, that's a great step to try. Have you restarted your iPhone since this issue started? Which iOS are you running? Check here: Settings &gt; General &gt; About &gt; Version.",228466,228465
Why does my @118721 create a brand new library and erase my old one every time I open it? What’s going on???? @115948 @115858 @AppleSupport,@814563 We'd be happy to get to the bottom of what's happening with your iTunes Library. What device are you seeing this on?,2949568,2949567
@AppleSupport I’m not sure if you guys sent this to me or someone is phishing for my account info https://t.co/ByWDjZCFbq,@185385 We'd like to help. That is not a genuine message. You can report the message as outlined here: https://t.co/LNMCdqt6fD,291416,291414
"@AppleSupport  Every time I try to open the App Store, I doesn’t load... Then it fails to retry... https://t.co/7mLCRZRWZR","@774812 Thanks for bringing this to our attention. Let’s team up to get this addressed. To clarify, how long has this been happening? Does that continue after restarting? Also, what exact version number of iOS are you using? https://t.co/ZTw54HL4Rm",2771889,2771887
@AppleSupport  30 minutos y no abre la pagina!,@143062 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs https://t.co/GDrqU22YpT,121549,121548
@AppleSupport It was totally fine before I updated to iOS 11,"@646854 If you go to Settings &gt; General &gt; About &gt; Version, which iOS 11 version are you running?",2213356,2213358
@AppleSupport Thank you!!!,@223560 You're welcome! Enjoy the upcoming weekend.,457228,457230
@AppleSupport I updated my iPhone 6S to iOS 11 and the new Podcast App does not appear to let me view or edit my queue. Please help or fix.,@474973 We'd love to offer our help. Are you referencing curating your Up Next queue?,1531034,1531032
"Dear @115858, please fix this I️",@518839 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1712983,1712982
@AppleSupport why is my phone not recognizing the lowercase I? I don’t get what’s happening,@518228 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1710663,1710662
Getting sick of this @AppleSupport @191435 https://t.co/pEsZjOH4bs,@485362 To remove the Beta version from your device you can refer to this guide: https://t.co/rEEDcjXdhp DM us any questions. https://t.co/GDrqU22YpT,1575032,1575031
@115858 @AppleSupport @115858 I️ changed my shortcut for “I️” but I’m still seeing boxes with question marks and hashtags .,@442671 We'd like to look into this with you. Could you please send us a DM so we can gather some info? https://t.co/GDrqU22YpT,1386711,2143236
@AppleSupport why does my new laptop have a charge thats supposed to last 10 hours but it lasts 2 if i'm lucky?,@316621 Battery life is important for portable devices. Let's get you back working order. Try this first: https://t.co/IS1pJIaZuf,825546,825545
"@AppleSupport hi team, I just took a subscription for tinder but I cancelled it immediately. How can I get the refund for that subscription. Please tell me.",@664307 For issues with an iTunes purchase or subscription you'd want to reach out to our iTunes Store support team for assistance. You can connect with them here: https://t.co/SDIe7UiyJN,2286087,2286086
@AppleSupport Yeah I’ve fixed it now - iCloud Photo Library had become “unclicked” in the update process - not sure why that would happen?,@270229 We're glad to hear that the issue has been resolved. Please let us know if you need further assistance.,633777,633779
@115858 after updating my phone to IOS 11 it magically turned into a pice of cr*p. Plz fix or I might as well use a rotary phone / Samsung,@411212 We don't want you to be without a working iPhone. Send us a DM and we'll work on this together. https://t.co/GDrqU22YpT,1241482,1241481
@AppleSupport The new update won’t let me call anyone else with an updated iPhone. I have a iPhone 6s. No one can call me either. WTH,"@717015 We know it's important to be able to make and receive calls to stay in touch with friends and family. We're happy to help. To start, check out these steps: https://t.co/U53YusKX3z DM us if the issue persists, and we'll go from there. https://t.co/GDrqU22YpT",661613,2517099
@AppleSupport @358826 I have the same problem Apple!!! Do something! Too many bugs and battery drain. Want my iPhone back,"@358827 Thanks for reaching out to us again, let's continue our conversation in DM. https://t.co/GDrqU22YpT",1009320,1009322
"Ever since I updated my phone last night, it’s been running soooo slow. @115858 sort your updates out",@785177 We'd like to look into this together. Which update did you install? Does the performance seem the same in all apps or one specifically? Have you tried any troubleshooting on your own? Tell us in a DM and we'll take it from there. https://t.co/GDrqU22YpT,2816616,2816615
It would be incredible if my $750 iPhone 7 Plus didn’t freeze every other time I open an app @AppleSupport,@313202 We want to help. Which version of iOS are you currently running?,810856,810855
@AppleSupport This is a security issue! Why not have it not auto rejoin??,@524783 DM us using the link below and we'll look into this further with you. https://t.co/GDrqU22YpT,1738673,1738674
Good morning @AppleSupport @115858 your new software update is awful my iphone 7 is restarting since yesterday night 💔 how can i fix it,@525620 We're here for you. Send us a DM and we'll take a closer look at your iPhone 7. https://t.co/GDrqU22YpT,1742481,1742480
@116333 very disappointed in the IOS 11.0.3 update it has more bugs than the amazon rainforest . Please do something! :(,"@567735 Hey Ryan! We hope you're having a great day. Send us a DM, and let us know which device you have. We can have a look at this! https://t.co/GDrqU22YpT",1905238,1905237
@115858 y’all can fix these type of things in 3 seconds “ I️ “ don’t wanna see this BULLSHIT,@629579 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,2140957,2140956
Why the fuck has everything on the iphone been trash since ios11 fix this shit my nigga @115858,"@446717 We want to help! Are you using iOS 11.0.3? What's going on with your iPhone? Once we have details, we can assist better.",1405355,1405354
@AppleSupport a small line across my screen will not respond to touch on my iphone 5s. how do i fix it?,@418745 We've got your back. Please share with us in DM where you are seeing this line on your iPhone to start. https://t.co/GDrqU22YpT,1276301,1276300
"Updated to iOS11..Battery draining,overheating is all what I got.. Thanks @115858 #iOS11","@609855 We're happy to look into your battery concerns with you. To do so, go ahead and meet us within DM here: https://t.co/GDrqU22YpT",2062102,2062101
@AppleSupport Why does the Health app on iOS 11 count steps while I am on a bicycle ride with my Apple Watch recording that ride via the Activity app? Shouldn’t the Activity and Health app talk to each other so that the Health app does not count every bump on the road as a step?,"@780057 We're happy to look into this with you. To get started, let us know in DM which iOS device you're using and which version of iOS 11 you've got installed. https://t.co/GDrqU2kzhr",2795435,2795434
"anyone having issues with #osx #HighSierra and #Slack, #zoom or Multiple monitors? Getting major lag. @115858  @118190  @172377 #DevLife","@823737 We're happy to help out with your concerns. To begin, have you made sure that all apps are up-to-date via the App Store &gt; Updates tab? 
Does the slower performance happen with a specific pattern?
Send us a DM and we'll work on this together. https://t.co/GDrqU22YpT",2987501,2987499
@AppleSupport Two different sets of headphones and also without any,"@272370 Alright. Does restarting your iPhone seem to help, even if only temporarily? Let's move to DM to continue troubleshooting. https://t.co/GDrqU22YpT",642031,642033
My iphone 7 keeps on crashing after the ios11.1.2 update. Help pls @AppleSupport https://t.co/83F9ZksmnM,@245881 We'll gladly lend a hand. Check out the steps to help with what you're experiencing here: https://t.co/Wc5MHFZb0p Let us know if that helps.,542380,542379
Hello @AppleSupport. Can you please help verify if this receipt is real? A friend just got it and he's not sure. Thank you! https://t.co/TQ829evGKp,"@682651 Meet us in DM, then we can advise you on this from there. https://t.co/GDrqU22YpT",2364448,2364447
@AppleSupport there is a problem that kept showing on my MacBook pro and my iphone6s is that when i play a music it will turn off and on many time by it self also in my mac the iTunes open himself I don’t know how 🤦🏻‍♀️,@429695 We would like to help. Join us in DM with additional details to get started: https://t.co/GDrqU22YpT,1327377,1327376
@476007 @115817 got mine! but now can't activate thanks to @AppleSupport 😭,"@476006 If you're having issues activating, we're here for you. Please DM us. https://t.co/GDrqU22YpT",1534994,1534993
yo @115858 get your crap together. i’m tired of this I️ mess,@532222 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1770385,1770384
Why can't I update none of my apps or iOS?! 😩 @115858,@513238 Thanks for reaching out. We'd like to help. Are you updating via Wi-Fi or iTunes?,1690565,1690563
I only get audible text notifications SOMETIMES. it'll be sitting right here and I happen to look and I got 4 new texts. never a ding. what's up with that @115858??,"@777736 We're happy to look into this with you. For us to research this further, let's meet in DM. Send us your iPhone model and iOS version from Settings &gt; General &gt; About to begin. https://t.co/GDrqU22YpT",2924702,2924701
@AppleSupport I called 1-800apple several times this week and received different answers from each rep.,@260525 Send us a DM using the link below. We'd like to be sure to get your issue headed in the proper direction. https://t.co/GDrqU22YpT,593500,593503
When @115858 keeps charging you hbo. @6174 isn’t on! I cancelled this shit. It’s the ONLY reason I had it. 😒😒😒😒,@803793 Thanks for bringing this to our attention. We’d like to get you in touch with an expert from our iTunes team to assist further. Use this link to get connected with them: https://t.co/SDIe7UiyJN,2902017,2902015
"MY BATTERY KEEPS DRAINING SO QUICKLY, MY PHONE KEEPS FREEZING AND SPAZZING OUT. @115858 WTF HAVE YOU DONE",@643237 We're here to help. DM us which iPhone model you are using to get started. https://t.co/GDrqU22YpT,2199246,2199245
"@AppleSupport 6, it lasts about 2 hours after the update.",@276491 Thanks for clarifying. Send us a DM so we can continue to work with you there. https://t.co/GDrqU22YpT,908492,908494
So I updated my phone and I still see that the “I” is still an issue... @115858,"@708458 We'd like to see how we can help with this. Are you seeing this when you type, or in existing posts? Let us know in DM. We'll meet you there. https://t.co/GDrqU22YpT",2478963,2478962
"Dear @115858, your new #IOS1103 is giving me trouble to download apps. Help me? Thanks #iphoneupdate",@566903 We'd love to help. Can you tell us what is happening specifically when you try to download apps? DM the response below. https://t.co/GDrqU22YpT,1902234,1902233
@AppleSupport hi if i have a new 5k imac with a kaby lake processor and high sierra can i play netflix/youtube/amazon in 4k please?,@534925 Great Question! We recommend checking out this article here: https://t.co/SFdFHkEs3N DM us if you have any questions. https://t.co/GDrqU22YpT,1780467,1780466
"@115858 dear Apple...

THE MOTHERFUCKING GLITCH RUINED THE CAPTURE FOR THE EXCELLENCE OF PICTURE THAT THIS IS. FIX THIS!

Xoxo, everyone! https://t.co/ce0qms1yh4",@489463 We want you to get the message across like you intend to. Check out this article for help: https://t.co/xU1AGHStV6,1592363,1592361
¿Anybody else having battery leaking problems with iOS 11.0.3? Drains like crazy #ios1103 @AppleSupport,@363353 We want to help! What model of iOS device are you using? Do you have the most recent version of iOS 11.0.3 downloaded? https://t.co/GDrqU22YpT,1028524,1028523
@AppleSupport I️ am TIED of these boxes popping up every time I️ type “I️”. Makes me look slow apple,@590917  Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,1998514,1998513
I m using iphone 6 and I updated to ios 11 month ago but my wifi get turned on automatically plz tell me what to do @AppleSupport @124871 @2310 @115858 #wifiproblems #iphone6,"@764987 We're here to help. With iOS 11, you can turn off Wi-Fi and Bluetooth in your Control Center, however it just disconnects you from the network that you're currently connected to. To disable Wi-Fi you still have to do that in your Settings: https://t.co/G7BHuQnDS6",2728235,2728234
Why are my “I” giving me a hard time @AppleSupport I️ shouldn’t have to constantly click “a?” for the symbols to Not appear. Shame 🍏🍎,@592815 We want to look into this with you. DM us which model iPhone you have and iOS version to get started. https://t.co/GDrqU22YpT,2004703,2004702
@AppleSupport how do you delete background apps on the iPhone X?,@750944 Congratulations on the new device. Let's continue in DM using the link below. https://t.co/GDrqU22YpT,2665311,2665310
I wouldn’t recommend @115858 to anyone. My Mac has given me nothing but trouble since I first got it and the people at the Apple store are pricks and not helpful at all. I regret it so much. I’m never getting @115858 again.,@667607 We’re glad you reached out! That’s not the experience we want you to have in store. Please use the DM link below to share more details about the experience. We’ll continue working with you there. https://t.co/GDrqU22YpT,2300196,2300194
WTF @AppleSupport https://t.co/ClODMpsKLq,@755368 Thanks for reaching out. We see your DM and we'll continue there.,2686078,2686077
Reason 462 that I hate my #iPhone: I can't even open my Mail app without it force closing. @115858,@622689 We can help get your mail app working as expected. Is this the Apple Mail app or a third-party app?,2110940,2110938
"@115858 @11993 Constant freezing, battery drain, multiple daily resets, buttons that don’t work, menus that don’t draw correctly. #ios11problems",@540539 We'd be delighted to work with you on the issues you're seeing. Meet up with us in DM to get started. https://t.co/GDrqU22YpT,1798948,1798947
"@AppleSupport Just checked and am already running iOS 11.0.2. This bug is really annoying especially when I am in the middle of a call, and this happens.",@297378 Let's move over to DM. Use the link below to get started: https://t.co/GDrqU22YpT,741668,741671
"@AppleSupport Hello, Im using iphone 5s.","@638724 Awesome! Thank you for letting us know. Just to confirm, are you still experiencing the same behavior with your flash?",2179526,2179528
"Hmm, Seem to have lost the Hashtag function on my new MacBookPro used to be Option key + 3 - but no more? @AppleSupport","@231174 Thanks for bringing this behavior to our attention. Let’s team up to get this addressed. To verify, how long has this been happening? What happens if you hold down the shift key while pressing the 3 key? Also, which version of macOS are you using?",488047,488045
"Hey @115858, can we maybe fix the whole I️ glitch thing? It’s kinda hard to text without using it. Ok cool thanks for the quick chat 🤙🏼🤙🏼","@656909 If you haven’t yet, please back up your device and update it to the latest version iOS 11.1.1, which we released yesterday. For more info, check out: https://t.co/xXaXeeSRt9",2255359,2255358
@AppleSupport loved the update for iPhone but really disappointed in the service because my phone never has a good charge anymore !!,@297085 That's not to be expected. Let us help! Send us a DM letting us know which iPhone you have. https://t.co/GDrqU22YpT,740458,740457
@AppleSupport how do I downgrade my iPhone SE from iOS 11 to iOS 10.3.3 ? Please help!,"@812880 We'll be happy to see if we can help with your iPhone. Send us a DM with information about what's going on with it, and we'll continue from there. https://t.co/GDrqU22YpT",2942200,2942199
"Why is it happening AGAIN..???!!!
@AppleSupport 
#iphone https://t.co/KtyVqv637a","@511244 Hi there. We'd like to help. Is your device frozen on this screen? If so, try these steps: https://t.co/8MvHMFZ83h",1681591,1681589
@115858 just completed update. Now finger security doesn’t work. How many update will IOS11 need?,"@175104 Hey there, thanks for reaching out about Touch ID functionality. We're happy to look into this with you. It sounds like you have iOS 11.1.1 installed. Is that correct? If so, then try this: https://t.co/xqiXha6yeB",2304350,2304348
"HELP... Question for iPhone users.
How do I backup/restore a new phone WITHOUT transferring my 10 000 photos across? 
Wana save storage🤔???","@237883 Hey Dale, we'd be happy to help you find the best solution to save space and still transfer the information you want to your new iPhone. Send us a DM with some details about what you do want to move over and we'll take it from there. https://t.co/GDrqU22YpT",512552,512549
@115858 can y’all PLEASE fix the issue with your keyboard and specific letters turning to symbols???,@483213 Thanks for reaching out to us for support. Please check out this link: https://t.co/gKAEL4Osf4,1565193,1565192
"Where did all the dings go, @AppleSupport?  #iPhone is right here and it hasn't dung once.

(&lt;25% of the time, anyway)

#iOS 11 #Mobile","@608122 Thanks for letting us know. To clarify, are you referring to your notification sounds? Let us know more details via a DM. https://t.co/GDrqU2kzhr",2056279,2056278
@AppleSupport Ever since the new updates phone goes straight to voicemail.  Have to turn it off and on again. Any recommendations?,"@279444 Let's check it out. Do we understand correctly that you're able to make calls, but not receive them?",668664,668662
@AppleSupport Wow - talk about quick response and great suggestions!  Turns out the one thing I didn’t do - restart iPhone - did the trick!  Never ran into something like this b4 &amp; I’ve never thot of Apple and ctrl-alt-del at the same time :D thx! #applerox,@801924 That's great to hear! Don't hesitate to reach out any time you need us in the future.,2893333,2893335
@193202 @AppleSupport I thought it was because I didn't get the update??,@463085 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,1476993,1477587
I’ve read so many great reviews for the #iPhoneX’s camera and man I am severely disappointed. I hope I just got a defective unit cause this is worse than my 7+ massively. @AppleSupport,@277405 We are here to help. DM us the details of your issue and we can take a look at this. https://t.co/GDrqU22YpT,2286415,2286414
@AppleSupport It didn't work,"@216481 Please backup, then use iTunes on your computer to update. These steps will guide you: https://t.co/ahjigcvFRG",426709,426711
"My iPhone keeps crashing and restarting like every minute sometimes less than a minute, anyone else? @115858 @AppleSupport","@248302 We know that the performance of your device is important and we'll do everything we can to resolve this. To get started, let's update to iOS 11.2 to resolve the restart issue. Here's the link below:

https://t.co/osZOKKTalm",550745,550744
@AppleSupport i’m having a problem w the ios 11.1 emojis,@459008 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,1714123,1714122
"Hey @AppleSupport, why can’t I restore my old phone to my new iPhone X? I keep getting this error. https://t.co/2HzLRkrPyy","@732009 Reach out to us via DM, then we can advise you on this from there. https://t.co/GDrqU2kzhr",2583067,2583066
@115858 all apps are closed and the phone is still pulling battery like there is no tomorrow. What is wrong with iOS 11?,@201442 We'd like to look into this with you. Reach out via DM using the link below. https://t.co/GDrqU22YpT,1488890,1488889
@AppleSupport iPhone 6 (iOS 11.0.2) Apple Music app crashes every time I launch it. Restartig the phone doesn’t fix the problem.,@214565 Let's figure this out. You've done a great first step. Send us a DM and we'll work through more: https://t.co/GDrqU22YpT,417293,417292
"@AppleSupport Mail menu overlaps #iOS top bar since #11.0 on #7Plus, can’t cancel, only kill app and restart https://t.co/vtJxw94LFI",@362405 We want to help. Which version of iOS 11 are you currently running?,1024307,1024305
@727897 @AppleSupport @115858 Get no sound when I receive a message,"@727896 Let's look into this together. How long have you been experiencing no sound when you receive messages? Have there been any changes, such as updating iOS or making changes in the Settings app?",2565687,2565685
